Industry Rankings - 2026-03-22 21:22 UTC
Tickers: 520 | Industries: 180

========================================================================================================================
Period: 5-Day Performance
========================================================================================================================

Rank  Industry                                       Avg      Std  Count  Top 5 Stocks
 142  SPECIALTY CLEANING, POLISHING AND SANITATION PREPARATIONS    -4.09%   0.00%      1  CLX -4.09%
 143  RADIOTELEPHONE COMMUNICATIONS               -4.10%   0.00%      1  TMUS -4.10%
 144  NATURAL GAS DISTRIBUTION                    -4.29%   0.00%      1  ATO -4.29%
 145  AIRCRAFT ENGINES & ENGINE PARTS             -4.33%   1.22%      2  RTX -3.11%, HON -5.54%
 146  WHOLESALE-MEDICAL, DENTAL & HOSPITAL EQUIPMENT & SUPPLIES    -4.34%   0.00%      1  HSIC -4.34%
 147  HEATING EQUIP, EXCEPT ELEC & WARM AIR; & PLUMBING FIXTURES    -4.36%   0.00%      1  MAS -4.36%
 148  BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS    -4.44%   0.00%      1  MNST -4.44%
 149  PAINTS, VARNISHES, LACQUERS, ENAMELS & ALLIED PRODS    -4.58%   0.00%      1  PPG -4.58%
 150  SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS    -4.60%   1.38%      3  CHD -3.13%, PG -4.23%, ECL -6.46%
 151  GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS    -4.64%   0.00%      1  LEN -4.64%
 152  MALT BEVERAGES                              -5.07%   0.00%      1  TAP -5.07%
 153  DENTAL EQUIPMENT & SUPPLIES                 -5.11%   0.00%      1  XRAY -5.11%
 154  ELECTRIC & OTHER SERVICES COMBINED          -5.14%   0.72%     12  CMS -4.38%, WEC -4.41%, PCG -4.52%, ED -4.73%, EVRG -4.76%
 155  ELECTRONIC CONNECTORS                       -5.36%   0.00%      1  APH -5.36%
 156  SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC    -5.38%   1.95%      2  UHS -3.43%, HCA -7.33%
 157  ELECTRIC SERVICES                           -5.47%   1.49%     15  EIX -2.76%, NEE -3.54%, CNP -4.52%, NRG -4.62%, SO -4.71%
 158  PAPERBOARD CONTAINERS & BOXES               -5.49%   0.00%      1  PKG -5.49%
 159  WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES    -5.57%   0.97%      3  CAH -4.26%, MCK -5.85%, COR -6.58%
 160  MISCELLANEOUS MANUFACTURING INDUSTRIES      -5.64%   0.00%      1  AMCR -5.64%
 161  CIGARETTES                                  -5.83%   0.79%      2  MO -5.04%, PM -6.61%
 162  WHOLESALE-GROCERIES & RELATED PRODUCTS      -5.95%   1.09%      2  SYY -4.87%, DPZ -7.04%
 163  GRAIN MILL PRODUCTS                         -6.02%   0.00%      1  GIS -6.02%
 164  RETAIL-DRUG STORES AND PROPRIETARY STORES    -6.11%   0.00%      1  CVS -6.11%
 165  CARPETS & RUGS                              -6.18%   0.00%      1  MHK -6.18%
 166  RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS    -6.22%   1.12%      3  HD -5.39%, LOW -5.45%, BLDR -7.80%
 167  RETAIL-AUTO & HOME SUPPLY STORES            -6.24%   1.61%      2  ORLY -4.63%, AZO -7.86%
 168  CANNED, FRUITS, VEG, PRESERVES, JAMS & JELLIES    -6.33%   0.00%      1  SJM -6.33%
 169  HOUSEHOLD APPLIANCES                        -6.61%   2.49%      2  AOS -4.11%, WHR -9.10%
 170  RETAIL-EATING & DRINKING PLACES             -6.66%   0.00%      1  SBUX -6.66%
 171  FATS & OILS                                 -6.67%   1.40%      2  BG -5.28%, ADM -8.07%
 172  CHEMICALS & ALLIED PRODUCTS                 -6.77%   0.00%      1  FMC -6.77%
 173  AIRCRAFT                                    -7.04%   0.00%      1  BA -7.04%
 174  METAL MINING                                -7.61%   0.00%      1  FCX -7.61%
 175  MISCELLANEOUS FOOD PREPARATIONS & KINDRED PRODUCTS    -8.68%   0.00%      1  MKC -8.68%
 176  WHOLESALE-MOTOR VEHICLE SUPPLIES & NEW PARTS    -8.85%   0.00%      1  GPC -8.85%
 177  PAPER MILLS                                 -9.37%   0.00%      1  IP -9.37%
